file	date	line_shape	line_no	category	disposition	rationale
.claude/skills/moai-workflow-worktree/modules/worktree-commands.md	2026-01-06	LS-PROSE-STAMP	295	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/worktree-commands.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/worktree-management.md	2026-01-06	LS-PROSE-STAMP	216	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/modules/worktree-management.md	2026-01-06	LS-PROSE-STAMP	6	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai-workflow-worktree/SKILL.md	2026-07-10	LS-FM	21	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/references/anti-patterns.md	2026-04-28	LS-PROSE-STAMP	425	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/references/mx-tag.md	2026-02-22	LS-FM	11	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/references/reference.md	2026-02-22	LS-FM	12	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/references/reference.md	2026-02-22	LS-PROSE-STAMP	229	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/SKILL.md	2026-07-07	LS-PROSE-STAMP	358	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/workflows/clean.md	2026-02-21	LS-FM	12	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/clean.md	2026-02-25	LS-PROSE-STAMP	268	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/workflows/codemaps.md	2026-02-21	LS-FM	12	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/design.md	2026-07-09	LS-FM	16	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/e2e.md	2026-07-14	LS-FM	13	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/feedback.md	2026-02-07	LS-PROSE-STAMP	184	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/workflows/feedback.md	2026-02-21	LS-FM	12	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/fix.md	2026-02-21	LS-FM	12	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/fix.md	2026-03-02	LS-OTHER	337	DC-5	REMOVE	M2 adjudicated REMOVE - skill-internal version-history authoring date
.claude/skills/moai/workflows/gate.md	2026-03-29	LS-FM	11	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/gate.md	2026-03-29	LS-PROSE-STAMP	195	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/workflows/harness-build-entry.md	2026-06-19	LS-FM	14	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/harness-builder.md	2026-06-19	LS-FM	15	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/harness.md	2026-07-08	LS-FM	16	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/loop.md	2026-03-02	LS-PROSE-STAMP	380	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/workflows/loop.md	2026-07-09	LS-PROSE-STAMP	380	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/workflows/loop.md	2026-07-12	LS-FM	14	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/loop.md	2026-07-12	LS-PROSE-STAMP	380	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/workflows/moai.md	2026-07-07	LS-FM	11	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/moai.md	2026-07-09	LS-PROSE-STAMP	276	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/workflows/mx.md	2026-02-22	LS-FM	12	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/mx.md	2026-02-22	LS-PROSE-STAMP	250	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/workflows/plan.md	2026-05-25	LS-FM	13	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/plan.md	2026-05-25	LS-PROSE-STAMP	167	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/workflows/plan.md	2026-11-22	LS-OTHER	43	DC-3	PRESERVE	REQ-TDN-008 - functional deadline literal 2026-11-22; carved out by the M4 content-anchored allowlist
.claude/skills/moai/workflows/plan/clarity-interview.md	2026-11-22	LS-OTHER	167	DC-3	PRESERVE	REQ-TDN-008 - functional deadline literal 2026-11-22; carved out by the M4 content-anchored allowlist
.claude/skills/moai/workflows/plan/clarity-interview.md	2026-11-22	LS-OTHER	173	DC-3	PRESERVE	REQ-TDN-008 - functional deadline literal 2026-11-22; carved out by the M4 content-anchored allowlist
.claude/skills/moai/workflows/plan/spec-assembly.md	2026-11-22	LS-OTHER	140	DC-3	PRESERVE	REQ-TDN-008 - functional deadline literal 2026-11-22; carved out by the M4 content-anchored allowlist
.claude/skills/moai/workflows/plan/spec-assembly.md	2026-11-22	LS-OTHER	522	DC-3	PRESERVE	REQ-TDN-008 - functional deadline literal 2026-11-22; carved out by the M4 content-anchored allowlist
.claude/skills/moai/workflows/plan/spec-assembly.md	2026-11-22	LS-OTHER	74	DC-3	PRESERVE	REQ-TDN-008 - functional deadline literal 2026-11-22; carved out by the M4 content-anchored allowlist
.claude/skills/moai/workflows/project.md	2026-02-21	LS-FM	13	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/project.md	2026-02-21	LS-PROSE-STAMP	102	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/workflows/project/mode-detection.md	2026-04-21	LS-OTHER	38	DC-5	REMOVE	M2 adjudicated REMOVE - internal incident date
.claude/skills/moai/workflows/review.md	2026-02-21	LS-FM	11	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/run.md	2026-02-23	LS-FM	11	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/run/mode-orchestration.md	2026-03-30	LS-PROSE-STAMP	112	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.claude/skills/moai/workflows/sync.md	2026-05-17	LS-FM	13	DC-1	PRESERVE	REQ-TDN-009 - frontmatter updated: value preserved as authored; carved out by the M4 LS-FM structural gate
.claude/skills/moai/workflows/sync/delivery.md	2026-05-17	LS-PROSE-STAMP	465	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.gitignore	2026-01-10	LS-PROSE-STAMP	5	DC-2a	REMOVE	REQ-TDN-010 - internal authoring stamp on a distributed template; construct deleted with no placeholder substitution (REQ-TDN-007)
.moai/config/sections/harness.yaml	2026-04-21	LS-OTHER	54	DC-5	REMOVE	M2 adjudicated REMOVE - internal incident date in a config comment
.moai/config/sections/harness.yaml	2026-04-21	LS-OTHER	56	DC-5	REMOVE	M2 adjudicated REMOVE - internal incident date in a config comment
.moai/config/sections/lsp.yaml.tmpl	2026-04-11	LS-OTHER	36	DC-5	REMOVE	M2 adjudicated REMOVE - internal comparative-audit date in a config comment
.moai/docs/agent-lint.md	2026-07-13	LS-OTHER	43	DC-5	REMOVE	M2 adjudicated REMOVE - internal policy-adoption date in a doc table cell
